Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.84, 0.07, 12.5, 80, 80, 0
Numerical Parameters: NX, NY, ts, delta = 241, 241, 0.5, 0.0001 
File written: Tue Sep 26 23:51:22 2023
Comments: 2D 





Ascii values of u and v follow
0.00127184 0.243998
0.00136832 0.215171
0.00159206 0.188681
0.00200196 0.164983
0.00269631 0.144117
0.00382433 0.126025
0.00559821 0.110695
0.00830358 0.0981862
0.0123058 0.0886073
0.0180495 0.0821279
0.0260489 0.0790998
0.0368736 0.0801281
0.0511433 0.0860338
0.0695571 0.0976571
0.0929668 0.115567
0.122451 0.140202
0.159323 0.172388
0.205063 0.213884
0.261289 0.267865
0.33002 0.339425
0.414453 0.430511
0.517878 0.522803
0.634896 0.586827
0.745237 0.600413
0.824897 0.562403
0.863198 0.485044
0.861028 0.380316
0.817288 0.259782
0.721242 0.144871
0.562298 0.0721156
0.366053 0.0606882
0.199446 0.0710544
0.0957328 0.0826537
0.0426014 0.0953974
0.0181906 0.109246
0.00763502 0.124149
0.00323534 0.140036
0.00144399 0.156783
0.000722585 0.174106
0.00043001 0.191304
0.000308086 0.206869
0.000256594 0.218421
0.000238396 0.223656
0.000240805 0.221374
0.000260749 0.211777
0.000300077 0.196354
0.000366433 0.177383
0.000480442 0.15701
0.000695176 0.136766
0.00114322 0.117633
0.00214632 0.100202
0.00446476 0.0847882
0.00984913 0.071494
0.0222023 0.0602486
0.0497561 0.0508507
0.107936 0.0430375
0.218367 0.0365458
0.390817 0.0314226
0.589094 0.0480018
0.749624 0.114083
0.851291 0.212216
0.908788 0.315516
0.940167 0.41029
0.956863 0.492645
0.964686 0.562619
0.965998 0.621405
0.961139 0.670341
0.949289 0.710551
0.929229 0.742781
0.900226 0.767383
0.863027 0.784511
0.820572 0.794597
0.777888 0.798851
0.741015 0.799383
0.71549 0.798695
0.705145 0.798852
0.711503 0.800777
0.73361 0.803943
0.768111 0.806523
0.809712 0.805986
0.852289 0.799954
0.890447 0.786854
0.920792 0.765949
0.942222 0.73689
0.955286 0.699186
0.96117 0.651936
0.960762 0.593799
0.953887 0.523147
0.938467 0.438455
0.909182 0.339316
0.855294 0.22924
0.759147 0.121828
0.604158 0.0456469
0.406322 0.0229606
0.228679 0.0271264
0.11279 0.0332344
0.0513601 0.0407847
0.0223625 0.0497076
0.00951303 0.0596869
0.0040618 0.0696431
0.00190771 0.0774964
0.00132624 0.0813312
0.00182346 0.0804961
0.00377646 0.0752462
0.00868618 0.0667916
0.0201573 0.0572189
0.0459285 0.0481688
0.100742 0.0402532
0.206067 0.0335635
0.374037 0.0281446
0.573072 0.0410777
0.738766 0.102548
0.845354 0.198042
0.905936 0.300243
0.938894 0.394522
0.956093 0.476582
0.963341 0.546377
0.962389 0.60511
0.952044 0.65405
0.928534 0.693912
0.885848 0.724169
0.817236 0.742256
0.719361 0.743663
0.598103 0.724791
0.469654 0.688038
0.352324 0.643357
0.257128 0.602355
0.186329 0.568526
0.136898 0.541203
0.103936 0.519829
0.0829348 0.503995
0.0705884 0.49343
0.0648494 0.487971
0.0647723 0.48756
0.0704026 0.492258
0.0828008 0.502244
0.104205 0.517827
0.138245 0.539469
0.189924 0.567834
0.264724 0.60383
0.365998 0.648437
0.490927 0.696632
0.626349 0.734526
0.751163 0.751624
0.848361 0.747398
0.913819 0.728482
0.953269 0.703094
0.975086 0.678803
0.986075 0.661246
0.990283 0.65243
0.988854 0.652186
0.979498 0.660689
0.954842 0.678261
0.900555 0.701209
0.799068 0.715115
0.647942 0.695179
0.477477 0.627132
0.327436 0.531947
0.214716 0.445678
0.137837 0.375269
0.0882723 0.317985
0.0571414 0.270954
0.0377487 0.231912
0.0257293 0.199277
0.0185025 0.171903
0.0147715 0.148892
0.0142788 0.129506
0.017878 0.113135
0.0279997 0.099273
0.0496468 0.0875023
0.0918837 0.0774805
0.168517 0.0689256
0.292898 0.0616067
0.460151 0.058131
0.631922 0.0800257
0.766621 0.134284
0.854772 0.204388
0.90767 0.273874
0.938569 0.334826
0.956647 0.385064
0.967351 0.424813
0.973798 0.455052
0.9778 0.476904
0.980434 0.491443
0.982348 0.499654
0.983912 0.502467
0.985307 0.500794
0.986592 0.49558
0.987756 0.48784
0.988767 0.478657
0.989593 0.46915
0.990221 0.460407
0.990655 0.453393
0.990907 0.448865
0.990989 0.447301
0.000173696 0.149437
0.00018764 0.145232
0.000232881 0.133397
0.000322029 0.116906
0.000486978 0.0996802
0.000806204 0.0839971
0.00146996 0.0704209
0.00292954 0.0589277
0.00623193 0.0493724
0.0137473 0.0415256
0.03065 0.0350756
0.0674609 0.0297108
0.142387 0.0251989
0.275934 0.0213851
0.46443 0.0212429
0.654537 0.0564286
0.793162 0.138582
0.876406 0.242325
0.922583 0.345145
0.947408 0.437705
0.959629 0.517935
0.962615 0.586351
0.955595 0.64404
0.933747 0.691686
0.888027 0.728441
0.807195 0.750149
0.685814 0.748775
0.535868 0.718179
0.385476 0.6651
0.259481 0.609222
0.167135 0.56149
0.105461 0.521235
0.0664083 0.487501
0.0422439 0.459499
0.0273399 0.436532
0.0180655 0.417976
0.0122026 0.40318
0.00842505 0.391417
0.00594317 0.381771
0.00428415 0.373087
0.0031612 0.364022
0.00239715 0.353178
0.00188028 0.339358
0.0015392 0.321727
0.00132869 0.299958
0.00122228 0.27451
0.00120924 0.246872
0.00129571 0.219153
0.00150916 0.193095
0.00190574 0.169562
0.00257982 0.148778
0.00367516 0.13074
0.00539672 0.115447
0.00802109 0.102965
0.0119035 0.093426
0.0174792 0.0870367
0.0252579 0.0841805
0.0358165 0.0854362
0.0498025 0.0915786
0.0679685 0.103393
0.0912447 0.121448
0.120806 0.146253
0.158071 0.17872
0.204621 0.220679
0.26215 0.27538
0.3327 0.347885
0.41939 0.439351
0.525002 0.530246
0.64299 0.590973
0.752249 0.600741
0.829462 0.559888
0.865279 0.480905
0.861077 0.375397
0.815456 0.254839
0.717307 0.140968
0.556522 0.0702612
0.360358 0.0601112
0.195664 0.0701233
0.0938197 0.0812012
0.0417901 0.0932802
0.017891 0.106326
0.00754297 0.120296
0.0032196 0.135127
0.00145387 0.150692
0.000740172 0.166702
0.000449485 0.182505
0.000327616 0.196766
0.000275504 0.207442
0.000256311 0.212449
0.000257439 0.210657
0.000275908 0.202265
0.000313905 0.188601
0.000380134 0.171538
0.000497975 0.152843
0.000727139 0.133889
0.00121569 0.115666
0.0023207 0.0988461
0.00488086 0.0838317
0.0108147 0.0707943
0.0243628 0.0597087
0.0543496 0.0504069
0.11691 0.0426515
0.233414 0.0361966
0.41022 0.0314939
0.6063 0.05248
0.760553 0.123229
0.856921 0.223417
0.91118 0.32697
0.940601 0.421291
0.955737 0.502987
0.961657 0.57224
0.959996 0.630238
0.95031 0.678205
0.931061 0.716997
0.900706 0.746902
0.85905 0.767725
0.808429 0.779338
0.753953 0.782562
0.702391 0.779711
0.660331 0.774236
0.632792 0.769665
0.622747 0.768564
0.631236 0.771946
0.657464 0.779068
0.698635 0.787523
0.749774 0.793756
0.804159 0.794104
0.854805 0.785961
0.896451 0.768246
0.926752 0.740877
